,level,l1,l2,l3,l4,序号,条款,资料,审计程序,判断条件,结构,审计子程序
10,第一级安全测评要求,6.1 安全测评通用要求,6.1.2 安全通信网络,6.1.2.2 可信验证,6.1.2.2 测评单元(L1-CNS1-02),L1-CNS1-02,可基于可信根对通信设备的系统引导程序、系统程序等进行可信验证，并在检测到其可信性受到破坏后进行报警；,提供可信验证的设备或组件；,1) 应核查是否基于可信根对通信设备的系统引导程序、系统程序等进行可信验证；2) 应核查当检测到通信设备的可信性受到破坏后是否进行报警；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.2 安全通信网络/6.1.2.2 可信验证/6.1.2.2 测评单元(L1-CNS1-02), 应核查是否基于可信根对通信设备的系统引导程序、系统程序等进行可信验证
11,第一级安全测评要求,6.1 安全测评通用要求,6.1.2 安全通信网络,6.1.2.2 可信验证,6.1.2.2 测评单元(L1-CNS1-02),L1-CNS1-02,可基于可信根对通信设备的系统引导程序、系统程序等进行可信验证，并在检测到其可信性受到破坏后进行报警；,提供可信验证的设备或组件；,1) 应核查是否基于可信根对通信设备的系统引导程序、系统程序等进行可信验证；2) 应核查当检测到通信设备的可信性受到破坏后是否进行报警；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.2 安全通信网络/6.1.2.2 可信验证/6.1.2.2 测评单元(L1-CNS1-02), 应核查当检测到通信设备的可信性受到破坏后是否进行报警；
12,第一级安全测评要求,6.1 安全测评通用要求,6.1.3 安全区域边界,6.1.3.1 边界防护,6.1.3.1 测评单元(L1-ABS1-01),L1-ABS1-01,跨越边界的访问和数据流应通过边界设备提供的受控接口进行通信；,网闸、防火墙、路由器、交换机和无线接入网关设备等提供访问控制功能的设备或相关组件；,1) 应核查在网络边界处是否部署访问控制设备；2) 应核查设备配置信息是否指定端口进行跨越边界的网络通信，指定端口是否配置并启用了安全策略；3) 应采用其他技术手段(如非法无线网络设备定位、核查设备配置信息等)核查是否不存在其他未受控端口进行跨越边界的网络通信；,若1)～3)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.3 安全区域边界/6.1.3.1 边界防护/6.1.3.1 测评单元(L1-ABS1-01), 应核查在网络边界处是否部署访问控制设备
13,第一级安全测评要求,6.1 安全测评通用要求,6.1.3 安全区域边界,6.1.3.1 边界防护,6.1.3.1 测评单元(L1-ABS1-01),L1-ABS1-01,跨越边界的访问和数据流应通过边界设备提供的受控接口进行通信；,网闸、防火墙、路由器、交换机和无线接入网关设备等提供访问控制功能的设备或相关组件；,1) 应核查在网络边界处是否部署访问控制设备；2) 应核查设备配置信息是否指定端口进行跨越边界的网络通信，指定端口是否配置并启用了安全策略；3) 应采用其他技术手段(如非法无线网络设备定位、核查设备配置信息等)核查是否不存在其他未受控端口进行跨越边界的网络通信；,若1)～3)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.3 安全区域边界/6.1.3.1 边界防护/6.1.3.1 测评单元(L1-ABS1-01), 应核查设备配置信息是否指定端口进行跨越边界的网络通信，指定端口是否配置并启用了安全策略
14,第一级安全测评要求,6.1 安全测评通用要求,6.1.3 安全区域边界,6.1.3.1 边界防护,6.1.3.1 测评单元(L1-ABS1-01),L1-ABS1-01,跨越边界的访问和数据流应通过边界设备提供的受控接口进行通信；,网闸、防火墙、路由器、交换机和无线接入网关设备等提供访问控制功能的设备或相关组件；,1) 应核查在网络边界处是否部署访问控制设备；2) 应核查设备配置信息是否指定端口进行跨越边界的网络通信，指定端口是否配置并启用了安全策略；3) 应采用其他技术手段(如非法无线网络设备定位、核查设备配置信息等)核查是否不存在其他未受控端口进行跨越边界的网络通信；,若1)～3)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.3 安全区域边界/6.1.3.1 边界防护/6.1.3.1 测评单元(L1-ABS1-01), 应采用其他技术手段(如非法无线网络设备定位、核查设备配置信息等)核查是否不存在其他未受控端口进行跨越边界的网络通信；
15,第一级安全测评要求,6.1 安全测评通用要求,6.1.3 安全区域边界,6.1.3.2 访问控制,6.1.3.2 测评单元(L1-ABS1-02),L1-ABS1-02,应在网络边界根据访问控制策略设置访问控制规则，默认情况下除允许通信外受控接口拒绝所有通信；,网闸、防火墙、路由器、交换机和无线接入网关设备等提供访问控制功能的设备或相关组件；,1) 应核查在网络边界是否部署访问控制设备并启用访问控制策略；2) 应核查设备的最后一条访问控制策略是否为禁止所有网络通信；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.3 安全区域边界/6.1.3.2 访问控制/6.1.3.2 测评单元(L1-ABS1-02), 应核查在网络边界是否部署访问控制设备并启用访问控制策略
16,第一级安全测评要求,6.1 安全测评通用要求,6.1.3 安全区域边界,6.1.3.2 访问控制,6.1.3.2 测评单元(L1-ABS1-02),L1-ABS1-02,应在网络边界根据访问控制策略设置访问控制规则，默认情况下除允许通信外受控接口拒绝所有通信；,网闸、防火墙、路由器、交换机和无线接入网关设备等提供访问控制功能的设备或相关组件；,1) 应核查在网络边界是否部署访问控制设备并启用访问控制策略；2) 应核查设备的最后一条访问控制策略是否为禁止所有网络通信；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.3 安全区域边界/6.1.3.2 访问控制/6.1.3.2 测评单元(L1-ABS1-02), 应核查设备的最后一条访问控制策略是否为禁止所有网络通信；
17,第一级安全测评要求,6.1 安全测评通用要求,6.1.3 安全区域边界,6.1.3.2 访问控制,6.1.3.2 测评单元(L1-ABS1-03),L1-ABS1-03,应删除多余或无效的访问控制规则，优化访问控制列表，并保证访问控制规则数量最小化；,网闸、防火墙、路由器、交换机和无线接入网关设备等提供访问控制功能的设备或相关组件；,1) 应核查是否不存在多余或无效的访问控制策略；2) 应核查不同的访问控制策略之间的逻辑关系及前后排列顺序是否合理；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.3 安全区域边界/6.1.3.2 访问控制/6.1.3.2 测评单元(L1-ABS1-03), 应核查是否不存在多余或无效的访问控制策略
18,第一级安全测评要求,6.1 安全测评通用要求,6.1.3 安全区域边界,6.1.3.2 访问控制,6.1.3.2 测评单元(L1-ABS1-03),L1-ABS1-03,应删除多余或无效的访问控制规则，优化访问控制列表，并保证访问控制规则数量最小化；,网闸、防火墙、路由器、交换机和无线接入网关设备等提供访问控制功能的设备或相关组件；,1) 应核查是否不存在多余或无效的访问控制策略；2) 应核查不同的访问控制策略之间的逻辑关系及前后排列顺序是否合理；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.3 安全区域边界/6.1.3.2 访问控制/6.1.3.2 测评单元(L1-ABS1-03), 应核查不同的访问控制策略之间的逻辑关系及前后排列顺序是否合理；
19,第一级安全测评要求,6.1 安全测评通用要求,6.1.3 安全区域边界,6.1.3.2 访问控制,6.1.3.2 测评单元(L1-ABS1-04),L1-ABS1-04,应对源地址、目的地址、源端口、目的端口和协议等进行检查，以允许/拒绝数据包进出；,网闸、防火墙、路由器、交换机和无线接入网关设备等提供访问控制功能的设备或相关组件；,应核查设备的访问控制策略中是否设定了源地址、目的地址、源端口、目的端口和协议等相关配置参数；,若以上测评实施结论为是，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.3 安全区域边界/6.1.3.2 访问控制/6.1.3.2 测评单元(L1-ABS1-04),应核查设备的访问控制策略中是否设定了源地址、目的地址、源端口、目的端口和协议等相关配置参数；
20,第一级安全测评要求,6.1 安全测评通用要求,6.1.3 安全区域边界,6.1.3.3 可信验证,6.1.3.3 测评单元(L1-ABS1-05),L1-ABS1-05,可基于可信根对边界设备的系统引导程序、系统程序等进行可信验证，并在检测到其可信性受到破坏后进行报警；,提供可信验证的设备或组件；,1) 应核查是否基于可信根对边界设备的系统引导程序、系统程序等进行可信验证；2) 应核查当检测到边界设备的可信性受到破坏后是否进行报警；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.3 安全区域边界/6.1.3.3 可信验证/6.1.3.3 测评单元(L1-ABS1-05), 应核查是否基于可信根对边界设备的系统引导程序、系统程序等进行可信验证
21,第一级安全测评要求,6.1 安全测评通用要求,6.1.3 安全区域边界,6.1.3.3 可信验证,6.1.3.3 测评单元(L1-ABS1-05),L1-ABS1-05,可基于可信根对边界设备的系统引导程序、系统程序等进行可信验证，并在检测到其可信性受到破坏后进行报警；,提供可信验证的设备或组件；,1) 应核查是否基于可信根对边界设备的系统引导程序、系统程序等进行可信验证；2) 应核查当检测到边界设备的可信性受到破坏后是否进行报警；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.3 安全区域边界/6.1.3.3 可信验证/6.1.3.3 测评单元(L1-ABS1-05), 应核查当检测到边界设备的可信性受到破坏后是否进行报警；
22,第一级安全测评要求,6.1 安全测评通用要求,6.1.4 安全计算环境,6.1.4.1 身份鉴别,6.1.4.1 测评单元(L1-CES1-01),L1-CES1-01,应对登录的用户进行身份标识和鉴别，身份标识具有唯一性，身份鉴别信息具有复杂度要求并定期更换；,终端和服务器等设备中的操作系统(包括宿主机和虚拟机操作系统)、网络设备(包括虚拟网络设备)、安全设备(包括虚拟安全设备)、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备、控制设备、业务应用系统、数据库管理系统、中间件和 系统管理软件及系统设计文档等；,1) 应核查用户在登录时是否采用了身份鉴别措施；2) 应核查用户列表确认用户身份标识是否具有唯一性；3) 应核查用户配置信息是否不存在空口令用户；4) 应核查用户鉴别信息是否具有复杂度要求并定期更换；,若1)～4)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.4 安全计算环境/6.1.4.1 身份鉴别/6.1.4.1 测评单元(L1-CES1-01), 应核查用户在登录时是否采用了身份鉴别措施
23,第一级安全测评要求,6.1 安全测评通用要求,6.1.4 安全计算环境,6.1.4.1 身份鉴别,6.1.4.1 测评单元(L1-CES1-01),L1-CES1-01,应对登录的用户进行身份标识和鉴别，身份标识具有唯一性，身份鉴别信息具有复杂度要求并定期更换；,终端和服务器等设备中的操作系统(包括宿主机和虚拟机操作系统)、网络设备(包括虚拟网络设备)、安全设备(包括虚拟安全设备)、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备、控制设备、业务应用系统、数据库管理系统、中间件和 系统管理软件及系统设计文档等；,1) 应核查用户在登录时是否采用了身份鉴别措施；2) 应核查用户列表确认用户身份标识是否具有唯一性；3) 应核查用户配置信息是否不存在空口令用户；4) 应核查用户鉴别信息是否具有复杂度要求并定期更换；,若1)～4)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.4 安全计算环境/6.1.4.1 身份鉴别/6.1.4.1 测评单元(L1-CES1-01), 应核查用户列表确认用户身份标识是否具有唯一性
24,第一级安全测评要求,6.1 安全测评通用要求,6.1.4 安全计算环境,6.1.4.1 身份鉴别,6.1.4.1 测评单元(L1-CES1-01),L1-CES1-01,应对登录的用户进行身份标识和鉴别，身份标识具有唯一性，身份鉴别信息具有复杂度要求并定期更换；,终端和服务器等设备中的操作系统(包括宿主机和虚拟机操作系统)、网络设备(包括虚拟网络设备)、安全设备(包括虚拟安全设备)、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备、控制设备、业务应用系统、数据库管理系统、中间件和 系统管理软件及系统设计文档等；,1) 应核查用户在登录时是否采用了身份鉴别措施；2) 应核查用户列表确认用户身份标识是否具有唯一性；3) 应核查用户配置信息是否不存在空口令用户；4) 应核查用户鉴别信息是否具有复杂度要求并定期更换；,若1)～4)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.4 安全计算环境/6.1.4.1 身份鉴别/6.1.4.1 测评单元(L1-CES1-01), 应核查用户配置信息是否不存在空口令用户
25,第一级安全测评要求,6.1 安全测评通用要求,6.1.4 安全计算环境,6.1.4.1 身份鉴别,6.1.4.1 测评单元(L1-CES1-01),L1-CES1-01,应对登录的用户进行身份标识和鉴别，身份标识具有唯一性，身份鉴别信息具有复杂度要求并定期更换；,终端和服务器等设备中的操作系统(包括宿主机和虚拟机操作系统)、网络设备(包括虚拟网络设备)、安全设备(包括虚拟安全设备)、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备、控制设备、业务应用系统、数据库管理系统、中间件和 系统管理软件及系统设计文档等；,1) 应核查用户在登录时是否采用了身份鉴别措施；2) 应核查用户列表确认用户身份标识是否具有唯一性；3) 应核查用户配置信息是否不存在空口令用户；4) 应核查用户鉴别信息是否具有复杂度要求并定期更换；,若1)～4)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.4 安全计算环境/6.1.4.1 身份鉴别/6.1.4.1 测评单元(L1-CES1-01), 应核查用户鉴别信息是否具有复杂度要求并定期更换；
26,第一级安全测评要求,6.1 安全测评通用要求,6.1.4 安全计算环境,6.1.4.1 身份鉴别,6.1.4.1 测评单元(L1-CES1-02),L1-CES1-02,应具有登录失败处理功能，应配置并启用结束会话、限制非法登录次数和当登录连接超时自动退出等相关措施；,终端和服务器等设备中的操作系统(包括宿主机和虚拟机操作系统)、网络设备(包括虚拟网络设备)、安全设备(包括虚拟安全设备)、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备、控制设备、业务应用系统、数据库管理系统、中间件和系统管理软件及系统设计文档等；,1) 应核查是否配置并启用了登录失败处理功能；2) 应核查是否配置并启用了限制非法登录功能，非法登录达到一定次数后采取特定动作，如账户锁定等；3) 应核查是否配置并启用了登录连接超时及自动退出功能；,若1)～3)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.4 安全计算环境/6.1.4.1 身份鉴别/6.1.4.1 测评单元(L1-CES1-02), 应核查是否配置并启用了登录失败处理功能
27,第一级安全测评要求,6.1 安全测评通用要求,6.1.4 安全计算环境,6.1.4.1 身份鉴别,6.1.4.1 测评单元(L1-CES1-02),L1-CES1-02,应具有登录失败处理功能，应配置并启用结束会话、限制非法登录次数和当登录连接超时自动退出等相关措施；,终端和服务器等设备中的操作系统(包括宿主机和虚拟机操作系统)、网络设备(包括虚拟网络设备)、安全设备(包括虚拟安全设备)、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备、控制设备、业务应用系统、数据库管理系统、中间件和系统管理软件及系统设计文档等；,1) 应核查是否配置并启用了登录失败处理功能；2) 应核查是否配置并启用了限制非法登录功能，非法登录达到一定次数后采取特定动作，如账户锁定等；3) 应核查是否配置并启用了登录连接超时及自动退出功能；,若1)～3)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.4 安全计算环境/6.1.4.1 身份鉴别/6.1.4.1 测评单元(L1-CES1-02), 应核查是否配置并启用了限制非法登录功能，非法登录达到一定次数后采取特定动作，如账户锁定等
28,第一级安全测评要求,6.1 安全测评通用要求,6.1.4 安全计算环境,6.1.4.1 身份鉴别,6.1.4.1 测评单元(L1-CES1-02),L1-CES1-02,应具有登录失败处理功能，应配置并启用结束会话、限制非法登录次数和当登录连接超时自动退出等相关措施；,终端和服务器等设备中的操作系统(包括宿主机和虚拟机操作系统)、网络设备(包括虚拟网络设备)、安全设备(包括虚拟安全设备)、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备、控制设备、业务应用系统、数据库管理系统、中间件和系统管理软件及系统设计文档等；,1) 应核查是否配置并启用了登录失败处理功能；2) 应核查是否配置并启用了限制非法登录功能，非法登录达到一定次数后采取特定动作，如账户锁定等；3) 应核查是否配置并启用了登录连接超时及自动退出功能；,若1)～3)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.4 安全计算环境/6.1.4.1 身份鉴别/6.1.4.1 测评单元(L1-CES1-02), 应核查是否配置并启用了登录连接超时及自动退出功能；
29,第一级安全测评要求,6.1 安全测评通用要求,6.1.4 安全计算环境,6.1.4.2 访问控制,6.1.4.2 测评单元(L1-CES1-03),L1-CES1-03,应对登录的用户分配账户和权限；,终端和服务器等设备中的操作系统(包括宿主机和虚拟机操作系统)、网络设备(包括虚拟网络设备)、安全设备(包括虚拟安全设备)、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备、控制设备、业务应用系统、数据库管理系统、中间件和系统管理软件及系统设计文档等；,1) 应核查用户账户和权限设置情况；2) 应核查是否已禁用或限制匿名、默认账户的访问权限；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.4 安全计算环境/6.1.4.2 访问控制/6.1.4.2 测评单元(L1-CES1-03), 应核查用户账户和权限设置情况
30,第一级安全测评要求,6.1 安全测评通用要求,6.1.4 安全计算环境,6.1.4.2 访问控制,6.1.4.2 测评单元(L1-CES1-03),L1-CES1-03,应对登录的用户分配账户和权限；,终端和服务器等设备中的操作系统(包括宿主机和虚拟机操作系统)、网络设备(包括虚拟网络设备)、安全设备(包括虚拟安全设备)、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备、控制设备、业务应用系统、数据库管理系统、中间件和系统管理软件及系统设计文档等；,1) 应核查用户账户和权限设置情况；2) 应核查是否已禁用或限制匿名、默认账户的访问权限；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.4 安全计算环境/6.1.4.2 访问控制/6.1.4.2 测评单元(L1-CES1-03), 应核查是否已禁用或限制匿名、默认账户的访问权限；
31,第一级安全测评要求,6.1 安全测评通用要求,6.1.4 安全计算环境,6.1.4.2 访问控制,6.1.4.2 测评单元(L1-CES1-04),L1-CES1-04,应重命名或删除默认账户，修改默认账户的默认口令；,终端和服务器等设备中的操作系统(包括宿主机和虚拟机操作系统)、网络设备(包括虚拟网络设备)、安全设备(包括虚拟安全设备)、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备、控制设备、业务应用系统、数据库管理系统、中间件和系统管理软件及系统设计文档等；,1) 应核查是否已经重命名默认账户或默认账户已被删除；2) 应核查是否已修改默认账户的默认口令；,若1)或2)测评实施结论为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.4 安全计算环境/6.1.4.2 访问控制/6.1.4.2 测评单元(L1-CES1-04), 应核查是否已经重命名默认账户或默认账户已被删除
