,level,l1,l2,l3,序号,条款,资料,审计程序,判断条件,结构,审计子程序
10,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.3 防盗窃和防破坏,L3-PES1-06,应将设备或主要部件进行固定，并设置明显的不易除去的标识。,机房设备或主要部件。,1) 应核查机房内设备或主要部件是否固定。2) 应核查机房内设备或主要部件上是否设置了明显且不易除去的标识。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.3 防盗窃和防破坏, 应核查机房内设备或主要部件是否固定
11,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.3 防盗窃和防破坏,L3-PES1-06,应将设备或主要部件进行固定，并设置明显的不易除去的标识。,机房设备或主要部件。,1) 应核查机房内设备或主要部件是否固定。2) 应核查机房内设备或主要部件上是否设置了明显且不易除去的标识。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.3 防盗窃和防破坏, 应核查机房内设备或主要部件上是否设置了明显且不易除去的标识。
12,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.3 防盗窃和防破坏,L3-PES1-07,应将通信线缆铺设在隐蔽安全处。,机房通信线缆。,应核查机房内通信线缆是否铺设在隐蔽安全处，如桥架中等。,如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.3 防盗窃和防破坏,应核查机房内通信线缆是否铺设在隐蔽安全处，如桥架中等。
13,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.3 防盗窃和防破坏,L3-PES1-08,应设置机房防盗报警系统或设置有专人值守的视频监控系统，非7*24小时人员值守和巡查的机房，主要出入口应安装红外线探测设备等光电防盗设备，一旦发现有破坏性入侵即时显示入侵部位，并驱动声光报警装置。（F3）,机房防盗报警系统或视频监控系统。,1) 应核查机房是否设置机房防盗报警系统或有专人值守的视频监控系统。2) 应核查机房防盗报警系统或视频监控系统是否启用。3) 非7*24小时人员值守和巡查的机房，应核查机房主要出入口是否安装红外线探测设备等光电防盗设备，并核查光电防盗设备是否可以显示入侵部位以及驱动声光报警装置。,如果1）～3）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.3 防盗窃和防破坏, 应核查机房是否设置机房防盗报警系统或有专人值守的视频监控系统
14,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.3 防盗窃和防破坏,L3-PES1-08,应设置机房防盗报警系统或设置有专人值守的视频监控系统，非7*24小时人员值守和巡查的机房，主要出入口应安装红外线探测设备等光电防盗设备，一旦发现有破坏性入侵即时显示入侵部位，并驱动声光报警装置。（F3）,机房防盗报警系统或视频监控系统。,1) 应核查机房是否设置机房防盗报警系统或有专人值守的视频监控系统。2) 应核查机房防盗报警系统或视频监控系统是否启用。3) 非7*24小时人员值守和巡查的机房，应核查机房主要出入口是否安装红外线探测设备等光电防盗设备，并核查光电防盗设备是否可以显示入侵部位以及驱动声光报警装置。,如果1）～3）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.3 防盗窃和防破坏, 应核查机房防盗报警系统或视频监控系统是否启用
15,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.3 防盗窃和防破坏,L3-PES1-08,应设置机房防盗报警系统或设置有专人值守的视频监控系统，非7*24小时人员值守和巡查的机房，主要出入口应安装红外线探测设备等光电防盗设备，一旦发现有破坏性入侵即时显示入侵部位，并驱动声光报警装置。（F3）,机房防盗报警系统或视频监控系统。,1) 应核查机房是否设置机房防盗报警系统或有专人值守的视频监控系统。2) 应核查机房防盗报警系统或视频监控系统是否启用。3) 非7*24小时人员值守和巡查的机房，应核查机房主要出入口是否安装红外线探测设备等光电防盗设备，并核查光电防盗设备是否可以显示入侵部位以及驱动声光报警装置。,如果1）～3）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.3 防盗窃和防破坏, 非7*24小时人员值守和巡查的机房，应核查机房主要出入口是否安装红外线探测设备等光电防盗设备，并核查光电防盗设备是否可以显示入侵部位以及驱动声光报警装置。
16,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.3 防盗窃和防破坏,L3-PES1-09,应建立机房视频监控系统和动环监控系统，并对监控内容进行记录，对机房风冷水电设备、消防设施、门禁系统等重要设施实行连续24小时全面监控，视频监控记录和门禁系统出入记录至少保存3个月。（F3）,机房视频监控系统和动环监控系统。,1) 应核查机房是否配置视频监控系统和动环监控系统。2) 应核查视频监控系统和动环监控系统是否启用。3) 应核查视频监控系统和动环监控系统是否对机房风冷水电设备、消防设施、门禁系统等重要设施实行连续24小时全面监控，并核查视频监控记录和门禁系统出入记录是否至少保存3个月。,如果1）～3）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.3 防盗窃和防破坏, 应核查机房是否配置视频监控系统和动环监控系统
17,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.3 防盗窃和防破坏,L3-PES1-09,应建立机房视频监控系统和动环监控系统，并对监控内容进行记录，对机房风冷水电设备、消防设施、门禁系统等重要设施实行连续24小时全面监控，视频监控记录和门禁系统出入记录至少保存3个月。（F3）,机房视频监控系统和动环监控系统。,1) 应核查机房是否配置视频监控系统和动环监控系统。2) 应核查视频监控系统和动环监控系统是否启用。3) 应核查视频监控系统和动环监控系统是否对机房风冷水电设备、消防设施、门禁系统等重要设施实行连续24小时全面监控，并核查视频监控记录和门禁系统出入记录是否至少保存3个月。,如果1）～3）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.3 防盗窃和防破坏, 应核查视频监控系统和动环监控系统是否启用
18,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.3 防盗窃和防破坏,L3-PES1-09,应建立机房视频监控系统和动环监控系统，并对监控内容进行记录，对机房风冷水电设备、消防设施、门禁系统等重要设施实行连续24小时全面监控，视频监控记录和门禁系统出入记录至少保存3个月。（F3）,机房视频监控系统和动环监控系统。,1) 应核查机房是否配置视频监控系统和动环监控系统。2) 应核查视频监控系统和动环监控系统是否启用。3) 应核查视频监控系统和动环监控系统是否对机房风冷水电设备、消防设施、门禁系统等重要设施实行连续24小时全面监控，并核查视频监控记录和门禁系统出入记录是否至少保存3个月。,如果1）～3）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.3 防盗窃和防破坏, 应核查视频监控系统和动环监控系统是否对机房风冷水电设备、消防设施、门禁系统等重要设施实行连续24小时全面监控，并核查视频监控记录和门禁系统出入记录是否至少保存3个月。
19,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.4 防雷击,L3-PES1-10,应将各类机柜、设施和设备等通过接地系统安全接地。,机房。,应核查机房内机柜、设施和设备等是否进行接地处理。,如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.4 防雷击,应核查机房内机柜、设施和设备等是否进行接地处理。
20,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.4 防雷击,L3-PES1-11,应采取措施防止感应雷，例如设置防雷保安器或过压保护装置等。,机房防雷设施。,1) 应核查机房内是否设置防感应雷措施。2) 应核查防雷装置是否通过验收或国家有关部门的技术检测。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合本或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.4 防雷击, 应核查机房内是否设置防感应雷措施
21,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.4 防雷击,L3-PES1-11,应采取措施防止感应雷，例如设置防雷保安器或过压保护装置等。,机房防雷设施。,1) 应核查机房内是否设置防感应雷措施。2) 应核查防雷装置是否通过验收或国家有关部门的技术检测。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合本或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.4 防雷击, 应核查防雷装置是否通过验收或国家有关部门的技术检测。
22,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.4 防雷击,L3-PES1-12,机房应通过相关防雷验收，并定期对防雷设施进行维护和防雷检测。（F3）,机房防雷设施和记录表单类文档。,1) 应核查机房防雷设施是否通过有关部门验收。2) 应核查是否具有防雷设施的定期维护和检测记录。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合本或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.4 防雷击, 应核查机房防雷设施是否通过有关部门验收
23,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.4 防雷击,L3-PES1-12,机房应通过相关防雷验收，并定期对防雷设施进行维护和防雷检测。（F3）,机房防雷设施和记录表单类文档。,1) 应核查机房防雷设施是否通过有关部门验收。2) 应核查是否具有防雷设施的定期维护和检测记录。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合本或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.4 防雷击, 应核查是否具有防雷设施的定期维护和检测记录。
24,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.5 防火,L3-PES1-13,机房应设置火灾自动消防系统，能够通过在机房内、基本工作房间内、活动地板下、吊顶里及易燃物附近部位设置烟感、温感等多种方式进行自动检测火情、自动报警，并自动灭火。（F3）,机房防火设施。,1) 应核查机房内是否设置火灾自动消防系统。2) 应核查火灾自动消防系统是否可以通过在机房内、基本工作房间内、活动地板下、吊顶里及易燃物附近部位设置烟感、温感等多种方式进行自动检测火情、自动报警并自动灭火。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.5 防火, 应核查机房内是否设置火灾自动消防系统
25,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.5 防火,L3-PES1-13,机房应设置火灾自动消防系统，能够通过在机房内、基本工作房间内、活动地板下、吊顶里及易燃物附近部位设置烟感、温感等多种方式进行自动检测火情、自动报警，并自动灭火。（F3）,机房防火设施。,1) 应核查机房内是否设置火灾自动消防系统。2) 应核查火灾自动消防系统是否可以通过在机房内、基本工作房间内、活动地板下、吊顶里及易燃物附近部位设置烟感、温感等多种方式进行自动检测火情、自动报警并自动灭火。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.5 防火, 应核查火灾自动消防系统是否可以通过在机房内、基本工作房间内、活动地板下、吊顶里及易燃物附近部位设置烟感、温感等多种方式进行自动检测火情、自动报警并自动灭火。
26,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.5 防火,L3-PES1-14,机房及相关的工作房间和辅助房应采用具有耐火等级的建筑材料。,机房验收类文档。,应核查机房验收文档是否明确相关建筑材料的耐火等级。,如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.5 防火,应核查机房验收文档是否明确相关建筑材料的耐火等级。
27,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.5 防火,L3-PES1-15,应对机房划分区域进行管理，区域和区域之间设置隔离防火措施。,机房管理员和机房。,1) 应访谈机房管理员是否进行了区域划分。2) 应核查各区域间是否采取了防火措施进行隔离。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.5 防火, 应访谈机房管理员是否进行了区域划分
28,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.5 防火,L3-PES1-15,应对机房划分区域进行管理，区域和区域之间设置隔离防火措施。,机房管理员和机房。,1) 应访谈机房管理员是否进行了区域划分。2) 应核查各区域间是否采取了防火措施进行隔离。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.5 防火, 应核查各区域间是否采取了防火措施进行隔离。
29,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.5 防火,L3-PES1-16,机房应备有一定数量的对电子设备影响小的手持式灭火器，消防报警系统应具有与空调系统、新风系统、门禁系统联动的功能，一般工作状态为手动触发。（F3）,机房和消防报警系统。,1) 应核查机房是否配备一定数量的对电子设备影响小的手持式灭火器。2) 应核查消防报警系统是否具有与空调系统、新风系统、门禁系统联动的功能，且一般工作状态为手动触发。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.5 防火, 应核查机房是否配备一定数量的对电子设备影响小的手持式灭火器
30,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.5 防火,L3-PES1-16,机房应备有一定数量的对电子设备影响小的手持式灭火器，消防报警系统应具有与空调系统、新风系统、门禁系统联动的功能，一般工作状态为手动触发。（F3）,机房和消防报警系统。,1) 应核查机房是否配备一定数量的对电子设备影响小的手持式灭火器。2) 应核查消防报警系统是否具有与空调系统、新风系统、门禁系统联动的功能，且一般工作状态为手动触发。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.5 防火, 应核查消防报警系统是否具有与空调系统、新风系统、门禁系统联动的功能，且一般工作状态为手动触发。
31,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.5 防火,L3-PES1-17,机房内部通道设置、装修装饰材料、设备线缆等应满足消防要求，并对机房进行消防验收，纸张、磁带和胶卷等易燃物品要放置于防火柜内。（F3）,机房验收类文档和机房。,1) 应核查机房验收类文档，是否明确内部通道设置、装修装饰材料、设备线缆等满足消防验收要求。2) 应核查机房内纸张、磁带和胶卷等易燃物品是否放置于防火柜内。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.5 防火, 应核查机房验收类文档，是否明确内部通道设置、装修装饰材料、设备线缆等满足消防验收要求
32,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.5 防火,L3-PES1-17,机房内部通道设置、装修装饰材料、设备线缆等应满足消防要求，并对机房进行消防验收，纸张、磁带和胶卷等易燃物品要放置于防火柜内。（F3）,机房验收类文档和机房。,1) 应核查机房验收类文档，是否明确内部通道设置、装修装饰材料、设备线缆等满足消防验收要求。2) 应核查机房内纸张、磁带和胶卷等易燃物品是否放置于防火柜内。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.5 防火, 应核查机房内纸张、磁带和胶卷等易燃物品是否放置于防火柜内。
33,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.5 防火,L3-PES1-18,主机房宜采用管网式洁净气体灭火系统，也可采用高压细水雾灭火系统， 应同时设置两种火灾探测器，且消防报警系统应与空调系统、新风系统、门禁系统、灭火系统联动，凡设置洁净气体灭火系统的主机房，应配置专用空气呼吸器或氧气呼吸器。（F3）,机房灭火系统。,1) 应核查机房是否采用管网式洁净气体灭火系统或高压细水雾灭火系统。2) 应核查机房是否设置两种火灾探测器，且消防报警系统应与空调系统、新风系统、门禁系统、灭火系统联动。3) 应核查设置洁净气体灭火系统的机房是否配置了专用空气呼吸器或氧气呼吸器。,如果1）～3）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.5 防火, 应核查机房是否采用管网式洁净气体灭火系统或高压细水雾灭火系统
34,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.5 防火,L3-PES1-18,主机房宜采用管网式洁净气体灭火系统，也可采用高压细水雾灭火系统， 应同时设置两种火灾探测器，且消防报警系统应与空调系统、新风系统、门禁系统、灭火系统联动，凡设置洁净气体灭火系统的主机房，应配置专用空气呼吸器或氧气呼吸器。（F3）,机房灭火系统。,1) 应核查机房是否采用管网式洁净气体灭火系统或高压细水雾灭火系统。2) 应核查机房是否设置两种火灾探测器，且消防报警系统应与空调系统、新风系统、门禁系统、灭火系统联动。3) 应核查设置洁净气体灭火系统的机房是否配置了专用空气呼吸器或氧气呼吸器。,如果1）～3）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.5 防火, 应核查机房是否设置两种火灾探测器，且消防报警系统应与空调系统、新风系统、门禁系统、灭火系统联动
35,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.5 防火,L3-PES1-18,主机房宜采用管网式洁净气体灭火系统，也可采用高压细水雾灭火系统， 应同时设置两种火灾探测器，且消防报警系统应与空调系统、新风系统、门禁系统、灭火系统联动，凡设置洁净气体灭火系统的主机房，应配置专用空气呼吸器或氧气呼吸器。（F3）,机房灭火系统。,1) 应核查机房是否采用管网式洁净气体灭火系统或高压细水雾灭火系统。2) 应核查机房是否设置两种火灾探测器，且消防报警系统应与空调系统、新风系统、门禁系统、灭火系统联动。3) 应核查设置洁净气体灭火系统的机房是否配置了专用空气呼吸器或氧气呼吸器。,如果1）～3）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.5 防火, 应核查设置洁净气体灭火系统的机房是否配置了专用空气呼吸器或氧气呼吸器。
36,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.5 防火,L3-PES1-19,应定期检查消防设施，每年至少组织各运维相关部门联合开展一次针对机房的消防培训和演练。（F3）,机房管理制度和记录表单类文档。,1) 应核查机房管理制度是否具有每年至少组织各运维相关部门联合开展一次针对机房的消防培训和演练的相关要求。2) 应核查是否具有消防培训和演练记录。3) 应核查是否具有消防设施的定期检查记录。,如果1）～3）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.5 防火, 应核查机房管理制度是否具有每年至少组织各运维相关部门联合开展一次针对机房的消防培训和演练的相关要求
37,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.5 防火,L3-PES1-19,应定期检查消防设施，每年至少组织各运维相关部门联合开展一次针对机房的消防培训和演练。（F3）,机房管理制度和记录表单类文档。,1) 应核查机房管理制度是否具有每年至少组织各运维相关部门联合开展一次针对机房的消防培训和演练的相关要求。2) 应核查是否具有消防培训和演练记录。3) 应核查是否具有消防设施的定期检查记录。,如果1）～3）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.5 防火, 应核查是否具有消防培训和演练记录
38,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.5 防火,L3-PES1-19,应定期检查消防设施，每年至少组织各运维相关部门联合开展一次针对机房的消防培训和演练。（F3）,机房管理制度和记录表单类文档。,1) 应核查机房管理制度是否具有每年至少组织各运维相关部门联合开展一次针对机房的消防培训和演练的相关要求。2) 应核查是否具有消防培训和演练记录。3) 应核查是否具有消防设施的定期检查记录。,如果1）～3）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.5 防火, 应核查是否具有消防设施的定期检查记录。
39,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.5 防火,L3-PES1-20,机房应设置消防逃生通道，同时应保证机房内各分区到各消防通道的道路通畅，方便人员逃生时使用，在机房通道上应设置显著的消防标志。（F3）,机房。,1) 应核查机房是否设置消防逃生通道，并核查机房内各分区到各消防通道的道路是否通畅。2) 应核查消防逃生通道上是否设置显著的消防标志。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.5 防火, 应核查机房是否设置消防逃生通道，并核查机房内各分区到各消防通道的道路是否通畅
